Event,Sport,Season,Year,0
Swimming Women's 400 metres Freestyle,Swimming,Summer,1972,29
Swimming Women's 400 metres Freestyle,Swimming,Summer,1976,34
Swimming Women's 400 metres Freestyle,Swimming,Summer,1980,19
Swimming Women's 400 metres Freestyle,Swimming,Summer,1984,25
Swimming Women's 400 metres Freestyle,Swimming,Summer,1988,30
Swimming Women's 400 metres Freestyle,Swimming,Summer,1992,33
Swimming Women's 400 metres Freestyle,Swimming,Summer,1996,39
Swimming Women's 400 metres Freestyle,Swimming,Summer,2000,39
Swimming Women's 400 metres Freestyle,Swimming,Summer,2004,38
Swimming Women's 400 metres Freestyle,Swimming,Summer,2008,41
Swimming Women's 400 metres Freestyle,Swimming,Summer,2012,35
Swimming Women's 400 metres Freestyle,Swimming,Summer,2016,32
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1964,22
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1968,28
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1972,38
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1976,20
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1980,16
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1984,18
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1988,30
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1992,32
Swimming Women's 400 metres Individual Medley,Swimming,Summer,1996,31
Swimming Women's 400 metres Individual Medley,Swimming,Summer,2000,28
Swimming Women's 400 metres Individual Medley,Swimming,Summer,2004,25
Swimming Women's 400 metres Individual Medley,Swimming,Summer,2008,37
Swimming Women's 400 metres Individual Medley,Swimming,Summer,2012,35
Swimming Women's 400 metres Individual Medley,Swimming,Summer,2016,33
Swimming Women's 50 metres Freestyle,Swimming,Summer,1988,50
Swimming Women's 50 metres Freestyle,Swimming,Summer,1992,50
Swimming Women's 50 metres Freestyle,Swimming,Summer,1996,55
Swimming Women's 50 metres Freestyle,Swimming,Summer,2000,74
Swimming Women's 50 metres Freestyle,Swimming,Summer,2004,73
Swimming Women's 50 metres Freestyle,Swimming,Summer,2008,90
Swimming Women's 50 metres Freestyle,Swimming,Summer,2012,73
Swimming Women's 50 metres Freestyle,Swimming,Summer,2016,89
Swimming Women's 800 metres Freestyle,Swimming,Summer,1968,26
Swimming Women's 800 metres Freestyle,Swimming,Summer,1972,36
Swimming Women's 800 metres Freestyle,Swimming,Summer,1976,19
Swimming Women's 800 metres Freestyle,Swimming,Summer,1980,14
Swimming Women's 800 metres Freestyle,Swimming,Summer,1984,20
Swimming Women's 800 metres Freestyle,Swimming,Summer,1988,27
Swimming Women's 800 metres Freestyle,Swimming,Summer,1992,25
Swimming Women's 800 metres Freestyle,Swimming,Summer,1996,28
Swimming Women's 800 metres Freestyle,Swimming,Summer,2000,26
Swimming Women's 800 metres Freestyle,Swimming,Summer,2004,29
Swimming Women's 800 metres Freestyle,Swimming,Summer,2008,35
Swimming Women's 800 metres Freestyle,Swimming,Summer,2012,35
Swimming Women's 800 metres Freestyle,Swimming,Summer,2016,27
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,1984,36
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,1988,30
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,1992,36
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,2000,48
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,2004,48
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,2008,48
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,2012,48
Synchronized Swimming Women's Duet,Synchronized Swimming,Summer,2016,48
Synchronized Swimming Women's Solo,Synchronized Swimming,Summer,1984,50
Synchronized Swimming Women's Solo,Synchronized Swimming,Summer,1988,46
Synchronized Swimming Women's Solo,Synchronized Swimming,Summer,1992,53
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,1996,72
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,2000,69
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,2004,69
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,2008,69
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,2012,69
Synchronized Swimming Women's Team,Synchronized Swimming,Summer,2016,70
Table Tennis Men's Doubles,Table Tennis,Summer,1988,64
Table Tennis Men's Doubles,Table Tennis,Summer,1992,60
Table Tennis Men's Doubles,Table Tennis,Summer,1996,62
Table Tennis Men's Doubles,Table Tennis,Summer,2000,72
Table Tennis Men's Doubles,Table Tennis,Summer,2004,64
Table Tennis Men's Singles,Table Tennis,Summer,1988,64
Table Tennis Men's Singles,Table Tennis,Summer,1992,64
Table Tennis Men's Singles,Table Tennis,Summer,1996,64
Table Tennis Men's Singles,Table Tennis,Summer,2000,64
Table Tennis Men's Singles,Table Tennis,Summer,2004,64
Table Tennis Men's Singles,Table Tennis,Summer,2008,77
Table Tennis Men's Singles,Table Tennis,Summer,2012,69
Table Tennis Men's Singles,Table Tennis,Summer,2016,70
Table Tennis Men's Team,Table Tennis,Summer,2008,48
Table Tennis Men's Team,Table Tennis,Summer,2012,48
Table Tennis Men's Team,Table Tennis,Summer,2016,48
Table Tennis Women's Doubles,Table Tennis,Summer,1988,30
Table Tennis Women's Doubles,Table Tennis,Summer,1992,62
Table Tennis Women's Doubles,Table Tennis,Summer,1996,62
Table Tennis Women's Doubles,Table Tennis,Summer,2000,68
Table Tennis Women's Doubles,Table Tennis,Summer,2004,68
Table Tennis Women's Singles,Table Tennis,Summer,1988,48
Table Tennis Women's Singles,Table Tennis,Summer,1992,62
Table Tennis Women's Singles,Table Tennis,Summer,1996,63
Table Tennis Women's Singles,Table Tennis,Summer,2000,64
Table Tennis Women's Singles,Table Tennis,Summer,2004,64
Table Tennis Women's Singles,Table Tennis,Summer,2008,77
Table Tennis Women's Singles,Table Tennis,Summer,2012,70
Table Tennis Women's Singles,Table Tennis,Summer,2016,70
Table Tennis Women's Team,Table Tennis,Summer,2008,48
Table Tennis Women's Team,Table Tennis,Summer,2012,49
Table Tennis Women's Team,Table Tennis,Summer,2016,48
Taekwondo Men's Featherweight,Taekwondo,Summer,2000,14
Taekwondo Men's Featherweight,Taekwondo,Summer,2004,16
Taekwondo Men's Featherweight,Taekwondo,Summer,2008,15
Taekwondo Men's Featherweight,Taekwondo,Summer,2012,16
Taekwondo Men's Featherweight,Taekwondo,Summer,2016,16
Taekwondo Men's Flyweight,Taekwondo,Summer,2000,14
Taekwondo Men's Flyweight,Taekwondo,Summer,2004,16
Taekwondo Men's Flyweight,Taekwondo,Summer,2008,16
Taekwondo Men's Flyweight,Taekwondo,Summer,2012,16
Taekwondo Men's Flyweight,Taekwondo,Summer,2016,15
Taekwondo Men's Heavyweight,Taekwondo,Summer,2000,12
Taekwondo Men's Heavyweight,Taekwondo,Summer,2004,16
Taekwondo Men's Heavyweight,Taekwondo,Summer,2008,16
Taekwondo Men's Heavyweight,Taekwondo,Summer,2012,16
Taekwondo Men's Heavyweight,Taekwondo,Summer,2016,15
Taekwondo Men's Welterweight,Taekwondo,Summer,2000,14
Taekwondo Men's Welterweight,Taekwondo,Summer,2004,16
Taekwondo Men's Welterweight,Taekwondo,Summer,2008,16
Taekwondo Men's Welterweight,Taekwondo,Summer,2012,16
Taekwondo Men's Welterweight,Taekwondo,Summer,2016,16
Taekwondo Women's Featherweight,Taekwondo,Summer,2000,12
Taekwondo Women's Featherweight,Taekwondo,Summer,2004,15
Taekwondo Women's Featherweight,Taekwondo,Summer,2008,15
Taekwondo Women's Featherweight,Taekwondo,Summer,2012,16
Taekwondo Women's Featherweight,Taekwondo,Summer,2016,16
Taekwondo Women's Flyweight,Taekwondo,Summer,2000,12
Taekwondo Women's Flyweight,Taekwondo,Summer,2004,15
Taekwondo Women's Flyweight,Taekwondo,Summer,2008,16
Taekwondo Women's Flyweight,Taekwondo,Summer,2012,16
Taekwondo Women's Flyweight,Taekwondo,Summer,2016,16
Taekwondo Women's Heavyweight,Taekwondo,Summer,2000,12
Taekwondo Women's Heavyweight,Taekwondo,Summer,2004,15
Taekwondo Women's Heavyweight,Taekwondo,Summer,2008,16
Taekwondo Women's Heavyweight,Taekwondo,Summer,2012,16
Taekwondo Women's Heavyweight,Taekwondo,Summer,2016,16
Taekwondo Women's Welterweight,Taekwondo,Summer,2000,12
Taekwondo Women's Welterweight,Taekwondo,Summer,2004,15
Taekwondo Women's Welterweight,Taekwondo,Summer,2008,16
Taekwondo Women's Welterweight,Taekwondo,Summer,2012,16
Taekwondo Women's Welterweight,Taekwondo,Summer,2016,16
Tennis Men's Doubles,Tennis,Summer,1896,10
Tennis Men's Doubles,Tennis,Summer,1900,16
Tennis Men's Doubles,Tennis,Summer,1904,30
Tennis Men's Doubles,Tennis,Summer,1906,14
Tennis Men's Doubles,Tennis,Summer,1908,24
Tennis Men's Doubles,Tennis,Summer,1912,42
Tennis Men's Doubles,Tennis,Summer,1920,44
Tennis Men's Doubles,Tennis,Summer,1924,76
Tennis Men's Doubles,Tennis,Summer,1988,62
Tennis Men's Doubles,Tennis,Summer,1992,60
Tennis Men's Doubles,Tennis,Summer,1996,62
Tennis Men's Doubles,Tennis,Summer,2000,58
Tennis Men's Doubles,Tennis,Summer,2004,60
Tennis Men's Doubles,Tennis,Summer,2008,64
Tennis Men's Doubles,Tennis,Summer,2012,64
Tennis Men's Doubles,Tennis,Summer,2016,64
"Tennis Men's Doubles, Covered Courts",Tennis,Summer,1908,10
"Tennis Men's Doubles, Covered Courts",Tennis,Summer,1912,16
Tennis Men's Singles,Tennis,Summer,1896,13
Tennis Men's Singles,Tennis,Summer,1900,13
Tennis Men's Singles,Tennis,Summer,1904,27
Tennis Men's Singles,Tennis,Summer,1906,18
Tennis Men's Singles,Tennis,Summer,1908,31
Tennis Men's Singles,Tennis,Summer,1912,49
Tennis Men's Singles,Tennis,Summer,1920,41
Tennis Men's Singles,Tennis,Summer,1924,82
Tennis Men's Singles,Tennis,Summer,1988,64
Tennis Men's Singles,Tennis,Summer,1992,64
Tennis Men's Singles,Tennis,Summer,1996,64
Tennis Men's Singles,Tennis,Summer,2000,64
Tennis Men's Singles,Tennis,Summer,2004,64
Tennis Men's Singles,Tennis,Summer,2008,64
Tennis Men's Singles,Tennis,Summer,2012,64
Tennis Men's Singles,Tennis,Summer,2016,64
"Tennis Men's Singles, Covered Courts",Tennis,Summer,1908,7
"Tennis Men's Singles, Covered Courts",Tennis,Summer,1912,22
Tennis Mixed Doubles,Tennis,Summer,1900,12
Tennis Mixed Doubles,Tennis,Summer,1906,10
Tennis Mixed Doubles,Tennis,Summer,1912,12
Tennis Mixed Doubles,Tennis,Summer,1920,32
Tennis Mixed Doubles,Tennis,Summer,1924,42
Tennis Mixed Doubles,Tennis,Summer,2012,32
Tennis Mixed Doubles,Tennis,Summer,2016,30
"Tennis Mixed Doubles, Covered Courts",Tennis,Summer,1912,16
Tennis Women's Doubles,Tennis,Summer,1920,18
Tennis Women's Doubles,Tennis,Summer,1924,22
Tennis Women's Doubles,Tennis,Summer,1988,28
Tennis Women's Doubles,Tennis,Summer,1992,62
Tennis Women's Doubles,Tennis,Summer,1996,56
Tennis Women's Doubles,Tennis,Summer,2000,62
Tennis Women's Doubles,Tennis,Summer,2004,64
Tennis Women's Doubles,Tennis,Summer,2008,62
Tennis Women's Doubles,Tennis,Summer,2012,62
Tennis Women's Doubles,Tennis,Summer,2016,64
Tennis Women's Singles,Tennis,Summer,1900,6
Tennis Women's Singles,Tennis,Summer,1906,6
Tennis Women's Singles,Tennis,Summer,1908,5
Tennis Women's Singles,Tennis,Summer,1912,8
Tennis Women's Singles,Tennis,Summer,1920,18
Tennis Women's Singles,Tennis,Summer,1924,31
Tennis Women's Singles,Tennis,Summer,1988,48
Tennis Women's Singles,Tennis,Summer,1992,64
Tennis Women's Singles,Tennis,Summer,1996,64
Tennis Women's Singles,Tennis,Summer,2000,64
Tennis Women's Singles,Tennis,Summer,2004,64
Tennis Women's Singles,Tennis,Summer,2008,64
Tennis Women's Singles,Tennis,Summer,2012,64
Tennis Women's Singles,Tennis,Summer,2016,64
"Tennis Women's Singles, Covered Courts",Tennis,Summer,1908,7
"Tennis Women's Singles, Covered Courts",Tennis,Summer,1912,8
Trampolining Men's Individual,Trampolining,Summer,2000,12
Trampolining Men's Individual,Trampolining,Summer,2004,16
Trampolining Men's Individual,Trampolining,Summer,2008,16
Trampolining Men's Individual,Trampolining,Summer,2012,16
Trampolining Men's Individual,Trampolining,Summer,2016,16
Trampolining Women's Individual,Trampolining,Summer,2000,12
Trampolining Women's Individual,Trampolining,Summer,2004,16
Trampolining Women's Individual,Trampolining,Summer,2008,16
Trampolining Women's Individual,Trampolining,Summer,2012,16
Trampolining Women's Individual,Trampolining,Summer,2016,16
Triathlon Men's Olympic Distance,Triathlon,Summer,2000,52
Triathlon Men's Olympic Distance,Triathlon,Summer,2004,49
Triathlon Men's Olympic Distance,Triathlon,Summer,2008,55
Triathlon Men's Olympic Distance,Triathlon,Summer,2012,55
Triathlon Men's Olympic Distance,Triathlon,Summer,2016,55
Triathlon Women's Olympic Distance,Triathlon,Summer,2000,48
Triathlon Women's Olympic Distance,Triathlon,Summer,2004,50
Triathlon Women's Olympic Distance,Triathlon,Summer,2008,55
Triathlon Women's Olympic Distance,Triathlon,Summer,2012,55
Triathlon Women's Olympic Distance,Triathlon,Summer,2016,55
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1900,12
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1904,30
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1906,32
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1908,40
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1912,16
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,Summer,1920,40
Volleyball Men's Volleyball,Volleyball,Summer,1964,111
Volleyball Men's Volleyball,Volleyball,Summer,1968,119
Volleyball Men's Volleyball,Volleyball,Summer,1972,140
Volleyball Men's Volleyball,Volleyball,Summer,1976,120
Volleyball Men's Volleyball,Volleyball,Summer,1980,114
Volleyball Men's Volleyball,Volleyball,Summer,1984,118
Volleyball Men's Volleyball,Volleyball,Summer,1988,144
Volleyball Men's Volleyball,Volleyball,Summer,1992,142
Volleyball Men's Volleyball,Volleyball,Summer,1996,141
Volleyball Men's Volleyball,Volleyball,Summer,2000,141
Volleyball Men's Volleyball,Volleyball,Summer,2004,143
Volleyball Men's Volleyball,Volleyball,Summer,2008,143
Volleyball Men's Volleyball,Volleyball,Summer,2012,144
Volleyball Men's Volleyball,Volleyball,Summer,2016,141
Volleyball Women's Volleyball,Volleyball,Summer,1964,68
Volleyball Women's Volleyball,Volleyball,Summer,1968,87
Volleyball Women's Volleyball,Volleyball,Summer,1972,91
Volleyball Women's Volleyball,Volleyball,Summer,1976,96
Volleyball Women's Volleyball,Volleyball,Summer,1980,90
Volleyball Women's Volleyball,Volleyball,Summer,1984,90
Volleyball Women's Volleyball,Volleyball,Summer,1988,95
Volleyball Women's Volleyball,Volleyball,Summer,1992,89
Volleyball Women's Volleyball,Volleyball,Summer,1996,134
Volleyball Women's Volleyball,Volleyball,Summer,2000,138
Volleyball Women's Volleyball,Volleyball,Summer,2004,140
Volleyball Women's Volleyball,Volleyball,Summer,2008,140
Volleyball Women's Volleyball,Volleyball,Summer,2012,143
Volleyball Women's Volleyball,Volleyball,Summer,2016,142
Water Polo Men's Water Polo,Water Polo,Summer,1900,53
Water Polo Men's Water Polo,Water Polo,Summer,1904,21
Water Polo Men's Water Polo,Water Polo,Summer,1908,28
Water Polo Men's Water Polo,Water Polo,Summer,1912,45
Water Polo Men's Water Polo,Water Polo,Summer,1920,101
Water Polo Men's Water Polo,Water Polo,Summer,1924,101
Water Polo Men's Water Polo,Water Polo,Summer,1928,112
Water Polo Men's Water Polo,Water Polo,Summer,1932,41
Water Polo Men's Water Polo,Water Polo,Summer,1936,142
Water Polo Men's Water Polo,Water Polo,Summer,1948,156
Water Polo Men's Water Polo,Water Polo,Summer,1952,191
Water Polo Men's Water Polo,Water Polo,Summer,1956,96
Water Polo Men's Water Polo,Water Polo,Summer,1960,150
Water Polo Men's Water Polo,Water Polo,Summer,1964,137
Water Polo Men's Water Polo,Water Polo,Summer,1968,162
Water Polo Men's Water Polo,Water Polo,Summer,1972,176
Water Polo Men's Water Polo,Water Polo,Summer,1976,131
Water Polo Men's Water Polo,Water Polo,Summer,1980,132
Water Polo Men's Water Polo,Water Polo,Summer,1984,153
Water Polo Men's Water Polo,Water Polo,Summer,1988,156
Water Polo Men's Water Polo,Water Polo,Summer,1992,152
Water Polo Men's Water Polo,Water Polo,Summer,1996,153
Water Polo Men's Water Polo,Water Polo,Summer,2000,153
Water Polo Men's Water Polo,Water Polo,Summer,2004,154
Water Polo Men's Water Polo,Water Polo,Summer,2008,153
Water Polo Men's Water Polo,Water Polo,Summer,2012,155
Water Polo Men's Water Polo,Water Polo,Summer,2016,154
Water Polo Women's Water Polo,Water Polo,Summer,2000,78
Water Polo Women's Water Polo,Water Polo,Summer,2004,101
Water Polo Women's Water Polo,Water Polo,Summer,2008,103
Water Polo Women's Water Polo,Water Polo,Summer,2012,102
Water Polo Women's Water Polo,Water Polo,Summer,2016,104
Weightlifting Men's All-Around Dumbbell Contest,Weightlifting,Summer,1904,3
Weightlifting Men's Bantamweight,Weightlifting,Summer,1948,19
Weightlifting Men's Bantamweight,Weightlifting,Summer,1952,19
Weightlifting Men's Bantamweight,Weightlifting,Summer,1956,16
Weightlifting Men's Bantamweight,Weightlifting,Summer,1960,22
Weightlifting Men's Bantamweight,Weightlifting,Summer,1964,24
Weightlifting Men's Bantamweight,Weightlifting,Summer,1968,20
Weightlifting Men's Bantamweight,Weightlifting,Summer,1972,24
Weightlifting Men's Bantamweight,Weightlifting,Summer,1976,24
Weightlifting Men's Bantamweight,Weightlifting,Summer,1980,21
Weightlifting Men's Bantamweight,Weightlifting,Summer,1984,20
Weightlifting Men's Bantamweight,Weightlifting,Summer,1988,23
Weightlifting Men's Bantamweight,Weightlifting,Summer,1992,22
Weightlifting Men's Bantamweight,Weightlifting,Summer,1996,20
Weightlifting Men's Bantamweight,Weightlifting,Summer,2000,22
Weightlifting Men's Bantamweight,Weightlifting,Summer,2004,17
Weightlifting Men's Bantamweight,Weightlifting,Summer,2008,19
Weightlifting Men's Bantamweight,Weightlifting,Summer,2012,18
Weightlifting Men's Bantamweight,Weightlifting,Summer,2016,19
Weightlifting Men's Featherweight,Weightlifting,Summer,1920,14
Weightlifting Men's Featherweight,Weightlifting,Summer,1924,21
Weightlifting Men's Featherweight,Weightlifting,Summer,1928,21
Weightlifting Men's Featherweight,Weightlifting,Summer,1932,6
Weightlifting Men's Featherweight,Weightlifting,Summer,1936,21
Weightlifting Men's Featherweight,Weightlifting,Summer,1948,23
Weightlifting Men's Featherweight,Weightlifting,Summer,1952,22
Weightlifting Men's Featherweight,Weightlifting,Summer,1956,21
Weightlifting Men's Featherweight,Weightlifting,Summer,1960,28
Weightlifting Men's Featherweight,Weightlifting,Summer,1964,22
Weightlifting Men's Featherweight,Weightlifting,Summer,1968,28
Weightlifting Men's Featherweight,Weightlifting,Summer,1972,13
Weightlifting Men's Featherweight,Weightlifting,Summer,1976,17
Weightlifting Men's Featherweight,Weightlifting,Summer,1980,18
Weightlifting Men's Featherweight,Weightlifting,Summer,1984,21
Weightlifting Men's Featherweight,Weightlifting,Summer,1988,17
Weightlifting Men's Featherweight,Weightlifting,Summer,1992,31
Weightlifting Men's Featherweight,Weightlifting,Summer,1996,36
Weightlifting Men's Featherweight,Weightlifting,Summer,2000,21
Weightlifting Men's Featherweight,Weightlifting,Summer,2004,20
Weightlifting Men's Featherweight,Weightlifting,Summer,2008,17
Weightlifting Men's Featherweight,Weightlifting,Summer,2012,14
Weightlifting Men's Featherweight,Weightlifting,Summer,2016,17
Weightlifting Men's Flyweight,Weightlifting,Summer,1972,17
Weightlifting Men's Flyweight,Weightlifting,Summer,1976,23
Weightlifting Men's Flyweight,Weightlifting,Summer,1980,18
Weightlifting Men's Flyweight,Weightlifting,Summer,1984,20
Weightlifting Men's Flyweight,Weightlifting,Summer,1988,24
Weightlifting Men's Flyweight,Weightlifting,Summer,1992,17
Weightlifting Men's Flyweight,Weightlifting,Summer,1996,22
Weightlifting Men's Heavyweight,Weightlifting,Summer,1920,6
Weightlifting Men's Heavyweight,Weightlifting,Summer,1924,19
Weightlifting Men's Heavyweight,Weightlifting,Summer,1928,17
Weightlifting Men's Heavyweight,Weightlifting,Summer,1932,6
Weightlifting Men's Heavyweight,Weightlifting,Summer,1936,13
Weightlifting Men's Heavyweight,Weightlifting,Summer,1948,16
Weightlifting Men's Heavyweight,Weightlifting,Summer,1952,13
Weightlifting Men's Heavyweight,Weightlifting,Summer,1956,9
Weightlifting Men's Heavyweight,Weightlifting,Summer,1960,18
Weightlifting Men's Heavyweight,Weightlifting,Summer,1964,21
Weightlifting Men's Heavyweight,Weightlifting,Summer,1968,17
Weightlifting Men's Heavyweight,Weightlifting,Summer,1972,26
Weightlifting Men's Heavyweight,Weightlifting,Summer,1976,22
Weightlifting Men's Heavyweight,Weightlifting,Summer,2000,21
Weightlifting Men's Heavyweight,Weightlifting,Summer,2004,22
Weightlifting Men's Heavyweight,Weightlifting,Summer,2008,19
Weightlifting Men's Heavyweight,Weightlifting,Summer,2012,17
Weightlifting Men's Heavyweight,Weightlifting,Summer,2016,17
Weightlifting Men's Heavyweight I,Weightlifting,Summer,1980,17
Weightlifting Men's Heavyweight I,Weightlifting,Summer,1984,16
Weightlifting Men's Heavyweight I,Weightlifting,Summer,1988,21
Weightlifting Men's Heavyweight I,Weightlifting,Summer,1992,25
Weightlifting Men's Heavyweight I,Weightlifting,Summer,1996,28
Weightlifting Men's Heavyweight II,Weightlifting,Summer,1980,13
Weightlifting Men's Heavyweight II,Weightlifting,Summer,1984,15
Weightlifting Men's Heavyweight II,Weightlifting,Summer,1988,20
Weightlifting Men's Heavyweight II,Weightlifting,Summer,1992,24
Weightlifting Men's Heavyweight II,Weightlifting,Summer,1996,23
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1920,11
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1924,20
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1928,15
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1932,4
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1936,14
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1948,16
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1952,23
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1956,10
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1960,24
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1964,24
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1968,26
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1972,24
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1976,17
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1980,19
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1984,19
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1988,22
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1992,30
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,1996,20
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,2000,20
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,2004,21
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,2008,21
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,2012,23
Weightlifting Men's Light-Heavyweight,Weightlifting,Summer,2016,23
Weightlifting Men's Lightweight,Weightlifting,Summer,1920,12
Weightlifting Men's Lightweight,Weightlifting,Summer,1924,22
Weightlifting Men's Lightweight,Weightlifting,Summer,1928,18
Weightlifting Men's Lightweight,Weightlifting,Summer,1932,6
Weightlifting Men's Lightweight,Weightlifting,Summer,1936,16
Weightlifting Men's Lightweight,Weightlifting,Summer,1948,22
Weightlifting Men's Lightweight,Weightlifting,Summer,1952,24
Weightlifting Men's Lightweight,Weightlifting,Summer,1956,18
Weightlifting Men's Lightweight,Weightlifting,Summer,1960,33
Weightlifting Men's Lightweight,Weightlifting,Summer,1964,20
Weightlifting Men's Lightweight,Weightlifting,Summer,1968,20
Weightlifting Men's Lightweight,Weightlifting,Summer,1972,22
Weightlifting Men's Lightweight,Weightlifting,Summer,1976,23
Weightlifting Men's Lightweight,Weightlifting,Summer,1980,20
Weightlifting Men's Lightweight,Weightlifting,Summer,1984,19
Weightlifting Men's Lightweight,Weightlifting,Summer,1988,29
Weightlifting Men's Lightweight,Weightlifting,Summer,1992,18
Weightlifting Men's Lightweight,Weightlifting,Summer,1996,27
Weightlifting Men's Lightweight,Weightlifting,Summer,2000,17
Weightlifting Men's Lightweight,Weightlifting,Summer,2004,17
Weightlifting Men's Lightweight,Weightlifting,Summer,2008,29
Weightlifting Men's Lightweight,Weightlifting,Summer,2012,24
Weightlifting Men's Lightweight,Weightlifting,Summer,2016,21
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1952,20
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1956,15
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1960,20
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1964,19
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1968,29
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1972,23
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1976,19
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1980,18
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1984,26
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1988,28
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1992,23
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,1996,25
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,2000,19
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,2004,25
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,2008,18
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,2012,21
Weightlifting Men's Middle-Heavyweight,Weightlifting,Summer,2016,18
Weightlifting Men's Middleweight,Weightlifting,Summer,1920,10
Weightlifting Men's Middleweight,Weightlifting,Summer,1924,25
Weightlifting Men's Middleweight,Weightlifting,Summer,1928,23
Weightlifting Men's Middleweight,Weightlifting,Summer,1932,7
Weightlifting Men's Middleweight,Weightlifting,Summer,1936,16
Weightlifting Men's Middleweight,Weightlifting,Summer,1948,24
Weightlifting Men's Middleweight,Weightlifting,Summer,1952,21
Weightlifting Men's Middleweight,Weightlifting,Summer,1956,16
Weightlifting Men's Middleweight,Weightlifting,Summer,1960,27
Weightlifting Men's Middleweight,Weightlifting,Summer,1964,19
Weightlifting Men's Middleweight,Weightlifting,Summer,1968,20
Weightlifting Men's Middleweight,Weightlifting,Summer,1972,26
Weightlifting Men's Middleweight,Weightlifting,Summer,1976,17
Weightlifting Men's Middleweight,Weightlifting,Summer,1980,16
Weightlifting Men's Middleweight,Weightlifting,Summer,1984,21
Weightlifting Men's Middleweight,Weightlifting,Summer,1988,25
Weightlifting Men's Middleweight,Weightlifting,Summer,1992,34
Weightlifting Men's Middleweight,Weightlifting,Summer,1996,24
Weightlifting Men's Middleweight,Weightlifting,Summer,2000,17
Weightlifting Men's Middleweight,Weightlifting,Summer,2004,25
Weightlifting Men's Middleweight,Weightlifting,Summer,2008,28
Weightlifting Men's Middleweight,Weightlifting,Summer,2012,12
Weightlifting Men's Middleweight,Weightlifting,Summer,2016,14
